de-DE;ESDCDGS2020AM;217974;OL_DR21;699;629;;10 %;-10%;(-$70)
de-DE;ESDCDGS2020MAM;217988;OL_DR21;699;629;;10 %;-10%;(-$70)
en-AU;ESDCDGS2020AM;217992;OL_DR21;779;662;;15%;-15%;(-$117)
en-AU;ESDCDGS2020MAM;217994;OL_DR21;779;662;;15%;-15%;(-$117)
en-CA;ESDCDGS2020AM;217971;OL_DR21;599;509;;CA$ 90;-15%;(-$90)
en-CA;CDGS2020EFDPECOM;5257492800;OL_DR21;599;509;;CA$ 90;-15%;(-$90)
en-CA;ESDCDGS2020MAM;217973;OL_DR21;599;509;;CA$ 90;-15%;(-$90)
en-GB;ESDCDGS2020AM;217974;OL_DR21;599.99;539.99;;10%;-10%;(-$60)
en-GB;CDGS2020EFDPECOM;5257492800;OL_DR21;599.99;539.99;;10%;-10%;(-$60)
en-GB;ESDCDGS2020MAM;217988;OL_DR21;599.99;539.99;;10%;-10%;(-$60)
en-US;ESDCDGS2020AM;217971;OL_DR21;499;424;;$75;-15%;(-$75)
en-US;CDGS2020EFDPECOM;5257492800;OL_DR21;499;424;;$75;-15%;(-$75)
en-US;ESDCDGS2020MAM;217973;OL_DR21;499;424;;$75;-15%;(-$75)
fr-FR;ESDCDGS2020AM;217974;OL_DR21;699;629;;10 %;-10%;(-$70)
fr-FR;ESDCDGS2020MAM;217988;OL_DR21;699;629;;10 %;-10%;(-$70)
it-IT;ESDCDGS2020AM;217974;OL_DR21;699;629;;10%;-10%;(-$70)
it-IT;ESDCDGS2020MAM;217988;OL_DR21;699;629;;10%;-10%;(-$70)
ja-JP;ESDCDGS2020AM;217992;OL_DR21;59,184;50,280;;15%;-15%;-$8,904
ja-JP;ESDCDGS2020MAM;217993;OL_DR21;59,184;50,280;;15%;-15%;-$8,904
ja-JP;ESDCDGS2020MAM;217994;OL_DR21;59,184;50,280;;15%;-15%;(-$8,904)
nl-NL;ESDCDGS2020AM;217974;OL_DR21;699;629;;10%;-10%;(-$70)
nl-NL;ESDCDGS2020MAM;217988;OL_DR21;699;629;;10%;-10%;(-$70)
pt-BR;ESDCDGS2020AM;5257492300;OL_DR21;2.399;2.039;;15%;-15%;(-$360)
pt-BR;ESDCDGS2020MAM;5257492500;OL_DR21;2.399;2.039;;15%;-15%;(-$360)
