en-CA;ESDVS2020PRML;205839;VSP PRO 2018;79.99;;;;;;;
en-CA;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;;;;;;;
da-DK;ESDVS2020PRML;205839;VSP PRO 2018;549;;;;;;;1
da-DK;ESDVS2020PRMLUG;205840;VSP PRO 2018;399;;;;;;;
de-DE;ESDVS2020PRML;205839;VSP PRO 2018;69,99;;;;;;;
de-DE;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;;;;;;;
de-LI;ESDVS2020PRML;205839;VSP PRO 2018;79.95;;;;;;;
de-LI;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.95;;;;;;;
en-AU;ESDVS2020PRML;205839;VSP PRO 2018;125;;;;;;;
en-AU;ESDVS2020PRMLUG;205840;VSP PRO 2018;89;;;;;;;
en-GB;ESDVS2020PRML;205839;VSP PRO 2018;69.99;;;;;;;
en-GB;ESDVS2020PRMLUG;205840;VSP PRO 2018;49.99;;;;;;;
en-IE;ESDVS2020PRML;205839;VSP PRO 2018;69.99;;;;;;;
en-IE;ESDVS2020PRMLUG;205840;VSP PRO 2018;49.99;;;;;;;
en-NZ;ESDVS2020PRML;205839;VSP PRO 2018;99;;;;;;;
en-NZ;ESDVS2020PRMLUG;205840;VSP PRO 2018;79;;;;;;;
en-US;ESDVS2020PRML;205839;VSP PRO 2018;79.99;;;;;;;
en-US;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;;;;;;;
en-ZA;ESDVS2020PRML;205839;VSP PRO 2018;799;;;;;;;
en-ZA;ESDVS2020PRMLUG;205840;VSP PRO 2018;649;;;;;;;
es-ES;ESDVS2020PRML;205839;VSP PRO 2018;69,99;;;;;;;
es-ES;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;;;;;;;
es-MX;ESDVS2020PRML;205839;VSP PRO 2018;999;;;;;;;
es-MX;ESDVS2020PRMLUG;205840;VSP PRO 2018;749;;;;;;;
fr-FR;ESDVS2020PRML;205839;VSP PRO 2018;69,99;;;;;;;
fr-FR;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;;;;;;;
it-IT;ESDVS2020PRML;205839;VSP PRO 2018;69,99;;;;;;;
it-IT;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;;;;;;;
ja-JP;ESDVS2020PRML;205839;VSP PRO 2018;13,824;;;;;;;
ja-JP;ESDVS2020PRMLUG;205840;VSP PRO 2018;7,538;;;;;;;
nb-NO;ESDVS2020PRML;205839;VSP PRO 2018;599;;;;;;;
nb-NO;ESDVS2020PRMLUG;205840;VSP PRO 2018;429;;;;;;;
nl-NL;ESDVS2020PRML;205839;VSP PRO 2018;69,99;;;;;;;
nl-NL;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;;;;;;;
pl-PL;ESDVS2020PRML;205839;VSP PRO 2018;299;;;;;;;
pl-PL;ESDVS2020PRMLUG;205840;VSP PRO 2018;229;;;;;;;
pt-BR;ESDVS2020PRML;205839;VSP PRO 2018;159;;;;;;;
pt-BR;ESDVS2020PRMLUG;205840;VSP PRO 2018;129;;;;;;;
se-SE;ESDVS2020PRML;205839;VSP PRO 2018;649;;;;;;;
se-SE;ESDVS2020PRMLUG;205840;VSP PRO 2018;499;;;;;;;
zh-HK;ESDVS2020PRML;205839;VSP PRO 2018;620;;;;;;;
zh-HK;ESDVS2020PRMLUG;205840;VSP PRO 2018;470;;;;;;;
zh-TW;ESDVS2020PRML;205839;VSP PRO 2018;3,200;;;;;;;
zh-TW;ESDVS2020PRMLUG;205840;VSP PRO 2018;2,600;;;;;;;
en-RW;ESDVS2020PRML;205839;VSP PRO 2018;79.99;;;;;;;
en-RW;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;;;;;;;
